date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T09:30,1.5,34.7
2026-06-25,2026-06-25T09:45,1.6,34.88
2026-06-25,2026-06-25T11:00,1.9,35.42
2026-06-25,2026-06-25T11:15,2.0,35.6
2026-06-25,2026-06-25T11:30,2.0,35.6
2026-06-25,2026-06-25T11:45,2.0,35.6
2026-06-26,2026-06-26T09:45,0.9,33.62
2026-06-26,2026-06-26T10:00,0.9,33.62
2026-06-26,2026-06-26T10:45,1.3,34.34
2026-06-26,2026-06-26T10:45,1.3,34.34
2026-06-26,2026-06-26T10:45,1.3,34.34
2026-06-26,2026-06-26T10:45,1.3,34.34
2026-06-26,2026-06-26T13:00,2.6,36.68
2026-06-26,2026-06-26T15:15,3.1,37.58
2026-06-27,2026-06-26T17:15,5.5,41.9
2026-06-27,2026-06-26T21:45,4.8,40.64
2026-06-27,2026-06-27T00:45,2.6,36.68
2026-06-27,2026-06-27T03:15,2.1,35.78
2026-06-27,2026-06-27T05:00,2.7,36.86
2026-06-27,2026-06-27T07:45,2.2,35.96
2026-06-27,2026-06-27T09:00,1.9,35.42
2026-06-27,2026-06-27T11:00,1.2,34.16
2026-06-27,2026-06-27T13:00,1.2,34.16
2026-06-27,2026-06-27T15:00,2.7,36.86
2026-06-28,2026-06-27T17:00,4.4,39.92
2026-06-28,2026-06-27T22:15,3.6,38.48
2026-06-28,2026-06-28T02:15,3.2,37.76
2026-06-28,2026-06-28T04:45,4.2,39.56
2026-06-28,2026-06-28T07:00,4.3,39.74
2026-06-28,2026-06-28T09:15,2.6,36.68
2026-06-28,2026-06-28T11:00,2.6,36.68
2026-06-28,2026-06-28T13:15,2.9,37.22
2026-06-28,2026-06-28T15:00,3.8,38.839999999999996
2026-06-29,2026-06-28T17:15,5.1,41.18
2026-06-29,2026-06-28T22:45,3.1,37.58
2026-06-29,2026-06-29T04:15,1.5,34.7
2026-06-29,2026-06-29T09:00,1.1,33.98
2026-06-29,2026-06-29T12:00,1.9,35.42
2026-06-29,2026-06-29T14:30,3.5,38.3
2026-06-29,2026-06-29T16:00,5.3,41.54
2026-06-30,2026-06-29T21:00,8.0,46.4
2026-06-30,2026-06-30T01:30,6.2,43.16
2026-06-30,2026-06-30T04:45,5.9,42.620000000000005
2026-06-30,2026-06-30T07:30,5.5,41.9
2026-06-30,2026-06-30T10:00,4.2,39.56
2026-06-30,2026-06-30T13:00,4.6,40.28
2026-06-30,2026-06-30T15:15,6.1,42.980000000000004
2026-07-01,2026-06-30T17:15,8.8,47.84
2026-07-01,2026-06-30T22:45,7.1,44.78
2026-07-01,2026-07-01T03:00,5.2,41.36
2026-07-01,2026-07-01T06:30,5.3,41.54
2026-07-01,2026-07-01T09:30,4.8,40.64
2026-07-01,2026-07-01T12:00,4.7,40.46
2026-07-01,2026-07-01T14:30,5.2,41.36
2026-07-01,2026-07-01T16:15,7.7,45.86
2026-07-02,2026-07-01T21:00,9.9,49.82
2026-07-02,2026-07-02T01:15,7.1,44.78
2026-07-02,2026-07-02T04:30,7.0,44.6
2026-07-02,2026-07-02T07:15,8.2,46.76
2026-07-02,2026-07-02T09:45,8.1,46.58
2026-07-02,2026-07-02T11:30,8.2,46.76
2026-07-02,2026-07-02T13:15,7.5,45.5
2026-07-02,2026-07-02T15:00,8.9,48.02
2026-07-03,2026-07-02T17:00,10.9,51.620000000000005
2026-07-03,2026-07-03T01:15,8.9,48.02
2026-07-03,2026-07-03T04:30,10.1,50.18
